starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	1	7	8	5
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	1	8	8	7
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	6
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	6
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
